Task: 1, Test Name: wishlistIcon is displayed, DOM Id: A__wishlist__52, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: sortByDropdown is displayed, DOM Id: DIV__sortselect__193, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: product1Link is displayed, DOM Id: product_1, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: cartIcon is displayed, DOM Id: A__cartbt__49, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: gridViewIcon is displayed, DOM Id: I__tiviewgrid__202, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: product1Image is displayed, DOM Id: IMG__imgfluid__215, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: cartNotificationIcon is displayed, DOM Id: STRONG____50, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: listViewIcon is displayed, DOM Id: I__tiviewlist__204, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: product1Name is displayed, DOM Id: A____217, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: topBannerImage is displayed, DOM Id: DIV__topbanner__187, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: product1NewPrice is displayed, DOM Id: SPAN__newprice__220, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: product1Link is displayed, DOM Id: product_1, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: sortByContainer is displayed, DOM Id: DIV__toolboxele__189, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: product1OldPrice is displayed, DOM Id: SPAN__oldprice__221, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: sortByDropdown is displayed, DOM Id: DIV__sortselect__193, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: product1AddToFavoritesIcon is displayed, DOM Id: I__tiheart__225, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: product1Image is displayed, DOM Id: IMG__imgfluid__215, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: product1AddToCompareIcon is displayed, DOM Id: I__ticontrols__229, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: gridViewIcon is displayed, DOM Id: I__tiviewgrid__202, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: product1AddToCartIcon is displayed, DOM Id: I__tishopping__233, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: product2Link is displayed, DOM Id: product_2, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: product2Image is displayed, DOM Id: IMG__imgfluid__375, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: product1Name is displayed, DOM Id: A____217, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: listViewIcon is displayed, DOM Id: I__tiviewlist__204, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: product2Name is displayed, DOM Id: A____377, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: product1NewPrice is displayed, DOM Id: SPAN__newprice__220, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: product1Link is displayed, DOM Id: product_1, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: product2NewPrice is displayed, DOM Id: SPAN__newprice__380, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: product1OldPrice is displayed, DOM Id: SPAN__oldprice__221, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
